id,cod_entrevist,fecha,id_casa,edad,sexo,niv_eco,estudios,chiri_mod,chiri_cabz,chiri_cuerp,chiri_lug_mod,chiri_sign_mod,chiri_enfer,chiri_encontro,chiri_last_year,chiri_ahora_report_mod,agente,inspecc_ult_year,inspec_gratis,fumiga_permi,bodega,app_use_mod,imag_volant,hora_fin,datos_perdidos,tiempo_encuesta,obs
17,vanessa_rendon,2023-04-04,1.7.24.780,60,1,6,5,1,1,3,1,1,1,99,99,1,0,99,1,1,1,1,1,2023-04-26 08:30:00,0, 11 mins,
18,vanessa_rendon,2023-04-04,1.7.24.627,62,1,2,5,1,1,3,1,1,1,0,0,1,0,0,1,0,0,3,0,2023-04-26 09:31:00,0, 40 mins,
19,vanessa_rendon,2023-04-04,1.7.24.1158,39,1,1,3,1,1,3,3,2,1,0,1,1,0,0,1,1,1,2,0,2023-04-26 10:59:00,0, 32 mins,
20,vanessa_rendon,2023-04-04,1.7.24.1165,60,1,1,3,2,4,4,2,1,1,0,0,1,0,0,1,1,1,2,0,2023-04-26 11:29:00,0, 29 mins,
21,vanessa_rendon,2023-04-04,1.7.24.1227,85,2,5,2,1,3,3,1,1,1,0,0,1,0,1,1,1,1,1,1,2023-04-26 13:09:00,0, 59 mins,La casa es tienda
22,arlet_reyes,2023-04-04,1.25.4.175,44,1,1,3,4,2,3,2,1,1,0,0,1,0,0,1,1,1,1,0,2023-04-26 12:43:00,0,  7 mins,
23,lina_mollesaca,2023-04-04,1.25.26.1468,50,2,2,3,2,3,3,2,2,1,1,0,1,0,0,1,1,1,1,1,2023-04-26 09:03:00,0,  8 mins,
24,lina_mollesaca,2023-04-04,1.25.26.1574,62,1,2,3,2,2,2,2,1,1,0,0,1,0,0,1,1,1,1,1,2023-04-26 10:22:00,0,  6 mins,
25,lina_mollesaca,2023-04-04,1.25.26.1546,26,1,4,4,1,2,3,2,2,0,0,0,1,0,0,99,1,1,3,1,2023-04-26 10:47:00,0,  8 mins,
26,lina_mollesaca,2023-04-04,1.25.26.1496,30,1,1,3,1,2,2,2,2,1,0,0,1,0,1,99,99,1,3,1,2023-04-26 11:32:00,0,  6 mins,
